date,close,volume,open,high,low
1/3/2019,142.19,91106840,143.98,145.72,142
1/2/2019,157.92,35637070,154.89,158.85,154.23
1/1/2019,157.74,34499390,158.53,159.36,156.48
12/31/2018,156.23,41740600,157.5,158.52,154.55
12/30/2018,156.15,51608850,155.84,156.77,150.07
12/29/2018,157.17,58133850,148.3,157.23,146.72
12/28/2018,146.83,37169230,148.15,151.55,146.59
12/27/2018,150.73,95497900,156.86,158.16,149.63
12/26/2018,156.83,64398230,160.4,162.11,155.3
12/25/2018,160.89,47597670,166,167.45,159.09
12/24/2018,166.07,33753490,165.38,167.53,164.39
12/23/2018,163.94,43250420,165.45,168.35,162.73
12/22/2018,165.48,40620360,169,169.08,165.28
12/21/2018,170.95,31754210,170.49,172.57,169.55
12/20/2018,169.1,35474680,170.4,171.92,169.02
12/19/2018,168.63,45968040,171.66,171.79,167
12/18/2018,169.6,61759000,165,170.09,163.33
12/17/2018,168.49,41678680,173.49,174.49,168.3
12/16/2018,174.72,42704910,171.76,174.78,170.42
12/15/2018,176.69,41141250,180.95,182.3899,176.27
12/14/2018,184.82,40537700,184.46,184.94,181.21
12/13/2018,178.58,39424260,180.29,180.33,177.03
12/12/2018,179.55,41523580,182.66,182.8,177.7
12/11/2018,180.94,45941750,176.73,181.29,174.93
12/10/2018,174.24,41156140,171.51,174.77,170.88
12/9/2018,174.62,44662320,174.24,174.95,170.26
12/8/2018,172.29,23623970,174.94,176.595,172.1
12/7/2018,176.78,31096240,179.73,180.27,176.55
12/6/2018,176.98,67678680,178.37,181.47,175.51
12/5/2018,185.86,41626820,190,190.7,184.99
12/4/2018,193.53,36191330,190.5,194.9695,189.46
12/3/2018,191.41,46271660,188.39,191.97,186.9
12/2/2018,186.8,60547340,193.9,194.48,185.93
12/1/2018,192.23,46725710,191.63,197.18,191.4501
11/30/2018,194.17,50991030,199,199.85,193.79
11/29/2018,204.47,34317760,205.55,206.01,202.25
11/28/2018,208.49,25289270,209.98,210.12,206.75
11/27/2018,209.95,33291640,205.97,210.06,204.13
11/26/2018,203.77,31774720,201.92,204.72,201.69
11/25/2018,201.59,66072170,204.3,204.39,198.17
11/24/2018,207.48,91046560,209.55,213.65,205.43
11/23/2018,222.22,52954070,219.05,222.36,216.81
11/22/2018,218.86,38016810,216.88,220.45,216.62
11/21/2018,213.3,36487930,211.15,215.18,209.27
11/20/2018,212.24,45713690,219.19,219.69,206.09
11/19/2018,216.3,47191700,215.9,220.19,212.67
11/18/2018,219.8,29027340,217.71,221.38,216.75
11/17/2018,215.09,39992120,222.6,224.23,214.54
11/16/2018,222.73,38681170,215.83,223.25,214.7
11/15/2018,220.65,28751540,219.79,223.36,218.94
11/14/2018,219.31,32874330,218.06,221.26,217.43
11/13/2018,216.02,32389280,217.86,219.74,213
11/12/2018,221.19,22692880,222.3,222.64,219.34
11/11/2018,222.15,28802550,218.93,222.99,216.7627
11/10/2018,217.36,30280450,221.16,221.83,217.27
11/9/2018,222.11,39494770,220.42,222.88,216.84
11/8/2018,214.45,52902320,214.52,219.5,212.32
11/7/2018,216.36,41084070,225.46,226.35,216.05
11/6/2018,226.87,26656630,223.64,227.27,222.2462
11/5/2018,223.77,28784550,222.21,224.8,220.2
11/4/2018,224.29,33507770,227.96,228.41,220.58
11/3/2018,227.99,31961120,230.78,232.35,226.73
11/2/2018,232.07,28540490,230.05,233.47,229.78
